ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
SLS,4.435,4.95,-10.404,,,,,,2026-03-27
AGEN,3.405,3.435,-0.8734,8.2671,7.325,1.445,-53.5154,135.6401,2026-03-27
ZBIO,18.555,22.11,-16.0787,,,,,,2026-03-27
PEPG,4.59,4.88,-5.9426,,,,,,2026-03-27
NBIX,128.7,132.48,-2.8533,,,,,,2026-03-27
CAPR,28.89,29.95,-3.5392,,,,,,2026-03-27
AMRN,14.46,14.6,-0.9589,,,,,,2026-03-27
IRON,60.58,61.89,-2.1167,,,,,,2026-03-27
OCUL,7.685,8.06,-4.6526,,,,,,2026-03-27
ABUS,4.31,4.46,-3.3632,-10.9504,5.09,2.72,-15.3242,58.4559,2026-03-27
ALT,3.05,3.21,-4.9844,,,,,,2026-03-27
COGT,36.345,36.9,-1.5041,,,,,,2026-03-27
BNTX,85.51,87.475,-2.2464,,,,,,2026-03-27
HUMA,0.69,0.7986,-13.5988,,,,,,2026-03-27
GMAB,25.89,26.05,-0.6142,,,,,,2026-03-27
IONS,72.58,74.25,-2.2492,,,,,,2026-03-27
QGEN,38.96,39.71,-1.8887,,,,,,2026-03-27
BBIO,69.975,72.54,-3.536,,,,,,2026-03-27
CGON,64.7,66.64,-2.9112,,,,,,2026-03-27
TWST,44.27,46.79,-5.3858,,,,,,2026-03-27
JAZZ,184.98,189.37,-2.3182,,,,,,2026-03-27
MRK,119.98,118.98,0.8405,,,,,,2026-03-27
GSK,53.995,53.94,0.102,,,,,,2026-03-27
SNY,46.945,46.6,0.7403,,,,,,2026-03-27
XERS,5.375,5.56,-3.3273,,,,,,2026-03-27
RPRX,46.42,46.935,-1.0973,,,,,,2026-03-27
PTGX,98.92,102.11,-3.1241,,,,,,2026-03-27
SRRK,42.855,44.19,-3.021,,,,,,2026-03-27
CPRX,23.43,24.245,-3.3615,,,,,,2026-03-27
ATAI,3.355,3.55,-5.493,,,,,,2026-03-27
NATR,23.655,23.59,0.2755,,,,,,2026-03-27
SGMT,4.92,5.14,-4.2802,,,,,,2026-03-27
ACRS,3.55,3.53,0.5666,,4.88,1.055,-27.2541,236.4929,2026-03-27
ANAB,58.71,64.9,-9.5378,,,,,,2026-03-27
KALV,19.37,18.97,2.1086,,,,,,2026-03-27
ARWR,57.99,60.79,-4.606,,,,,,2026-03-27
PAHC,53.29,55.76,-4.4297,,,,,,2026-03-27
EWTX,30.87,31.64,-2.4336,,,,,,2026-03-27
PRAX,293.27,302.67,-3.1057,,,,,,2026-03-27
CRL,158.85,165.12,-3.7972,,,,,,2026-03-27
EXEL,41.7,42.345,-1.5232,,,,,,2026-03-27
BIIB,183.995,191.02,-3.6776,,,,,,2026-03-27
ILMN,117.46,124.345,-5.537,,,,,,2026-03-27
MDGL,514.805,519.15,-0.8369,,,,,,2026-03-27
SLNO,30.34,31.83,-4.6811,,,,,,2026-03-27
SANA,2.8,3.05,-8.1967,,,,,,2026-03-27
DYN,17.38,18.55,-6.3073,,,,,,2026-03-27
